"Stock Count Management","إدارة جرد المخزون"
"Stock Count Operations","عمليات جرد المخزون"
"Stock Count Session","جلسة جرد المخزون"
"Stock Count Sessions","جلسات جرد المخزون"
"Count Entry","سجل الجرد"
"Count Entries","سجلات الجرد"
"Reports & Analytics","التقارير والتحليلات"
"Variance Audit Report","تقرير مراجعة الفروقات"
"Stock Count Session Progress Summary","ملخص تقدم جلسة الجرد"
"Uncounted Items Exception Report","تقرير الاستثناءات غير المجودة"
"Session Name","اسم الجلسة"
"Count Type","نوع الجرد"
"Full Count","جرد كامل"
"Cycle Count","جرد دوري"
"Blind Count","جرد أعمى"
"Session Status","حالة الجلسة"
"In Progress","قيد التنفيذ"
"Completed","مكتمل"
"Draft","مسودة"
"Generate Count Tasks","توليد مهام الجرد"
"Check Uncounted Items","التحقق من المواد غير المجودة"
"Finalize & Create Stock Reconciliation","إنهاء وإعادة تسوية المخزون"
"Zero out uncounted items","تصفير المواد غير المجودة"
"Counted Quantity","الكمية المجودة"
"Variance Qty","كمية الفرق"
"ERP Qty","الكمية بالسيستم"
"Valuation Rate","سعر التقييم"
"ERP Value","قيمة السيستم"
"Counted Value","القيمة المجودة"
"Variance Value","قيمة الفرق"
"Counted Breakdown","تفاصيل العبوة المجودة"
"Variance Breakdown","تفاصيل عبوة الفرق"
"Counter User","المستخدم الجارد"
"Mobile Stock Counter","ماسح الجرد المحمول"
"Scan or Type Item / Barcode...","امسح أو أدخل المادة / الباركوود..."
"Scan Item / Barcode","امسح المادة / الباركوود"
"Select Session","اختر الجلسة"
"Select Warehouse","اختر المستودع"
"Counted Qty","الكمية المجودة"
"System Qty","كمية النظام"
"Batch Number","رقم التشغيلة"
"Serial Number","الرقم التسلسلي"
"Select UOM","اختر وحدة القياس"
"Conversion Factor","معامل التحويل"
"Submit Count","اعتماد الجرد"
"Save & Next","حفظ والتالي"
"Accumulated Qty","الكمية التراكمية"
"Camera Permission Required","يتطلب إذن الكاميرا"
"Item Not Found","المادة غير موجودة"
"Successfully Saved","تم الحفظ بنجاح"
"Search","بحث"
"Target Inventory Session","جلسة الجرد المستهدفة"
"Active Session","الجلسة النشطة"
"-- Select In-Progress Session --","-- اختر جلسة قيد التنفيذ --"
"Target Warehouse","المستودع المستهدف"
"Auto-filled from Session","يتم تعبئته تلقائياً من الجلسة"
"Scan Barcode / Search Code or Name...","مسح الباركود / البحث عن الكود أو الاسم..."
"Search","بحث"
"Open Camera Scanner","فتح ماسح الكاميرا"
"Close Camera","إغلاق الكاميرا"
"Current Total Counted","إجمالي الكمية المعدودة حالياً"
"Batch Number","رقم التشغيلة"
"Enter Batch Number Manually","أدخل رقم التشغيلة يدوياً"
"Serial Numbers (Scan/Enter one per line or comma-separated)","الأرقام التسلسلية (امسح/أدخل رقماً واحداً في كل سطر أو افصل بينها بفواصل)"
"e.g. SN-001, SN-002","مثال: SN-001, SN-002"
"Quantity Scanned Now","الكمية الممسوحة الآن"
"Selected UOM","وحدة القياس المختارة"
"ADD TO COUNT & SCAN NEXT","إضافة إلى الجرد والمسح التالي"
"Mobile Stock Counter","الجرد المخزني عبر الهاتف المحمول"
"System Expected Balance","الرصيد المتوقع في النظام"
"Primary UOM","وحدة القياس الأساسية"
"Code","رمز الصنف"
"Scanned Qty Added! Total: ","تمت إضافة الكمية الممسوحة! الإجمالي: "
"-- Select Existing Batch --","اختر رقم الدفعة"
"+ Enter New Batch","+ إدخال تشغيلة جديدة"
"Please select an active In-Progress Session first.","يرجى اختيار جلسة جرد قيد التنفيذ أولاً."
"No item found matching: {0}","لم يتم العثور على صنف مطابق لـ: {0}"
"Stock UOM","وحدة التخزين الأساسية"
"Warning: Batch {0} expired on {1}!","تحذير: التشغيلة {0} انتهت صلاحيتها في {1}!"
"Source Name","Target Name"
"Matched","متطابق"
"Surplus","فائض"
"Shortage","عجز"
"Total Surplus ($)","إجمالي الفائض ($)"
"Total Shortage ($)","إجمالي العجز ($)"
"Net Valuation Impact","صافي الأثر المالي"
"Only Show Variances","إظهار الفروقات فقط"
"Counter User","الماسح / العداد"
"Scanned Qty","الكمية الممسوحة"
"ERP Qty","كمية النظام"
"Physical Qty","الكمية الفعلية"
"Variance Qty","كمية الفرق"
"Total Surplus Value","إجمالي قيمة الفائض"
"Total Shortage Value","إجمالي قيمة العجز"
"Net Financial Adjustment","صافي التسوية المالية"
"Time Period","الفترة الزمنية"
"Total Sessions","إجمالي الجلسات"
"Total Items Audited","إجمالي الأصناف المراجعة"
"Accurate Items","الأصناف المطابقة"
"Variance Items","الأصناف بها فروقات"
"IRA Accuracy %","نسبة دقة المخزون %"
"Frequency","التكرار"
"Monthly","شهري"
"Yearly","سنوي"
"Stock Count Session","جلسة جرد المخزون"
"Valuation Impact","الأثر المالي"
"System Value","القيمة بالحسابات"
"Physical Value","القيمة الفعلية"
